"external_submission_id";"search_query";"donation_platform"
"7729";"https://www.youtube.com/results?search_query=toccata+und+fuge+d-moll+bwv+565";"YouTube"
"7729";"https://www.youtube.com/results?search_query=don%27t+trust+the+rabbit";"YouTube"
"7729";"https://www.youtube.com/results?search_query=buchenegger+wasserf%C3%A4lle";"YouTube"
"7729";"https://www.youtube.com/results?search_query=warum+schweigen+die+l%C3%A4mmer";"YouTube"
"7729";"https://www.youtube.com/results?search_query=lieb+mich";"YouTube"
"7782";"https://www.youtube.com/results?search_query=dunkelfeld+corona";"YouTube"
"7782";"https://www.youtube.com/results?search_query=pepe+frosch";"YouTube"
"7782";"https://www.youtube.com/results?search_query=paul+enghofer";"YouTube"
"7782";"https://www.youtube.com/results?search_query=neuruppin+scholz";"YouTube"
"7782";"https://www.youtube.com/results?search_query=mtb+modules";"YouTube"
"7799";"one love";"YouTube"
"7799";"the hu";"YouTube"
"7799";"rush";"YouTube"
"7799";"can spoon";"YouTube"
"7799";"john carpenter";"YouTube"
"7982";"https://www.youtube.com/results?search_query=Jovanotti+-+Serenata+Rap";"YouTube"
"7982";"https://www.youtube.com/results?search_query=Jermaine+Jackson+%26+Pia+Zadora+-+When+The+Rain+Begins+To+Fall";"YouTube"
"7982";"https://www.youtube.com/results?search_query=stefan+remmler+keine+angst+hat+der+papa+mir+gesagt+text";"YouTube"
"7982";"https://www.youtube.com/results?search_query=Marco+Borsato+Rood";"YouTube"
"7982";"https://www.youtube.com/results?search_query=status+quo+what+you%27re+proposing";"YouTube"
"8078";"https://www.youtube.com/results?search_query=indoor+cardio+wall+fastner";"YouTube"
"8078";"https://www.youtube.com/results?search_query=fastner+arme";"YouTube"
"8078";"https://www.youtube.com/results?search_query=nackenverspannungen+l%C3%B6sen+gabi+fastner";"YouTube"
"8078";"https://www.youtube.com/results?search_query=intense+workout";"YouTube"
"8078";"https://www.youtube.com/results?search_query=cro";"YouTube"
